Frecuencia_Hz,Magnitud
156.2,38568.2500
468.8,14894.1100
781.2,7876.9200
1093.8,5862.7300
1406.2,8002.3600
1718.8,5959.6400
2031.2,4383.8600
2343.8,4714.8300
2656.2,3415.1700
2968.8,4788.6200
3281.2,3213.4600
3593.8,3572.4300
3906.2,4071.6600
4218.8,2704.5500
4531.2,2567.1300
4843.8,2178.7100
5156.2,3130.7400
5468.8,3925.8300
5781.2,3210.1700
6093.8,3844.9900
6406.2,3269.9500
6718.8,2549.0500
7031.2,2198.5800
7343.8,2538.5600
7656.2,2406.0400
7968.8,2916.4300
8281.2,2787.2300
8593.8,2629.4100
8906.2,2717.6000
9218.8,2914.2900
9531.2,2117.2900
9843.8,2170.0300
