Timestamp,Epoch_Time_ms,MAG,D,P1,P2,P3,Tag
2026-06-19 17:21:36.068,1781907696068,388.2704,3.3,0,0,0,
2026-06-19 17:21:36.155,1781907696155,388.2704,5.6,0,0,0,
2026-06-19 17:21:36.192,1781907696192,388.2704,4.6,0,0,0,
2026-06-19 17:21:36.193,1781907696193,388.2704,5.2,0,0,0,
2026-06-19 17:21:36.193,1781907696193,388.2704,5.6,0,0,0,
2026-06-19 17:21:36.193,1781907696193,391.7228,5.6,0,0,0,
2026-06-19 17:21:36.193,1781907696193,391.7228,5.7,0,0,0,
2026-06-19 17:21:36.193,1781907696193,391.7228,5.2,0,0,0,
2026-06-19 17:21:36.193,1781907696193,391.7228,5.7,0,0,0,
2026-06-19 17:21:36.194,1781907696194,391.7228,5.8,0,0,0,
2026-06-19 17:21:36.194,1781907696194,391.7228,5.2,0,0,0,
2026-06-19 17:21:36.194,1781907696194,403.1066,5.1,0,0,0,
2026-06-19 17:21:36.194,1781907696194,403.1066,5.1,0,0,0,
2026-06-19 17:21:36.226,1781907696226,403.1066,5.7,0,0,0,
2026-06-19 17:21:36.274,1781907696274,403.1066,5.6,0,0,0,
2026-06-19 17:21:36.306,1781907696306,403.1066,5.2,0,0,0,
2026-06-19 17:21:36.347,1781907696347,403.1066,5.2,0,0,0,
2026-06-19 17:21:36.386,1781907696387,403.1066,5.7,0,0,0,
2026-06-19 17:21:36.426,1781907696426,411.2347,5.6,0,0,0,
2026-06-19 17:21:36.466,1781907696466,411.2347,4.7,0,0,0,
2026-06-19 17:21:36.506,1781907696506,411.2347,5.2,0,0,0,
2026-06-19 17:21:36.546,1781907696546,411.2347,5.6,0,0,0,
2026-06-19 17:21:36.586,1781907696586,411.2347,5.8,0,0,0,
2026-06-19 17:21:36.626,1781907696626,411.2347,5.8,0,0,0,
2026-06-19 17:21:36.667,1781907696667,473.8145,5.3,0,0,0,
2026-06-19 17:21:36.707,1781907696707,473.8145,5.1,0,0,0,
2026-06-19 17:21:36.746,1781907696746,473.8145,5.1,0,0,0,
2026-06-19 17:21:36.787,1781907696787,473.8145,6.1,0,0,0,
2026-06-19 17:21:36.826,1781907696827,473.8145,5.7,0,0,0,
2026-06-19 17:21:36.866,1781907696866,473.8145,6.0,0,0,0,
2026-06-19 17:21:36.906,1781907696906,473.8145,5.7,0,0,0,
2026-06-19 17:21:36.947,1781907696947,382.4181,5.2,0,0,0,
2026-06-19 17:21:36.987,1781907696987,382.4181,5.3,0,0,0,
2026-06-19 17:21:37.027,1781907697027,382.4181,5.4,0,0,0,
2026-06-19 17:21:37.067,1781907697067,382.4181,5.3,0,0,0,
2026-06-19 17:21:37.107,1781907697107,382.4181,5.2,0,0,0,
2026-06-19 17:21:37.146,1781907697146,382.4181,5.1,0,0,0,
2026-06-19 17:21:37.187,1781907697187,387.1779,5.2,0,0,0,
2026-06-19 17:21:37.226,1781907697227,387.1779,5.9,0,0,0,
2026-06-19 17:21:37.267,1781907697267,387.1779,5.1,0,0,0,
2026-06-19 17:21:37.307,1781907697307,387.1779,5.7,0,0,0,
2026-06-19 17:21:37.347,1781907697347,387.1779,5.7,0,0,0,
2026-06-19 17:21:37.387,1781907697387,387.1779,5.8,0,0,0,
2026-06-19 17:21:37.426,1781907697426,387.1779,5.7,0,0,0,
2026-06-19 17:21:37.467,1781907697467,420.6980,5.7,0,0,0,
2026-06-19 17:21:37.507,1781907697507,420.6980,5.2,0,0,0,
2026-06-19 17:21:37.547,1781907697547,420.6980,4.7,0,0,0,
2026-06-19 17:21:37.587,1781907697587,420.6980,5.2,0,0,0,
2026-06-19 17:21:37.627,1781907697627,420.6980,5.1,0,0,0,
2026-06-19 17:21:37.667,1781907697667,420.6980,5.2,0,0,0,
2026-06-19 17:21:37.707,1781907697707,806.8724,5.6,0,0,0,
2026-06-19 17:21:37.746,1781907697746,806.8724,5.7,0,0,0,
2026-06-19 17:21:37.787,1781907697787,806.8724,5.8,0,0,0,
2026-06-19 17:21:37.827,1781907697827,806.8724,5.8,0,0,0,
2026-06-19 17:21:37.867,1781907697867,806.8724,6.1,0,0,0,
2026-06-19 17:21:37.906,1781907697907,806.8724,5.7,0,0,0,
2026-06-19 17:21:37.947,1781907697947,806.8724,5.8,0,0,0,
2026-06-19 17:21:37.987,1781907697987,1345.3870,5.1,0,0,0,
2026-06-19 17:21:38.027,1781907698027,1345.3870,5.6,0,0,0,
2026-06-19 17:21:38.067,1781907698067,1345.3870,5.7,0,0,0,
