Timestamp,Epoch_Time_ms,MAG,D,P1,P2,P3,Tag
2026-06-19 17:18:42.862,1781907522862,409.7974,6.8,0,0,0,
2026-06-19 17:18:42.960,1781907522960,409.7974,6.9,0,0,0,
2026-06-19 17:18:43.003,1781907523003,409.7974,6.9,0,0,0,
2026-06-19 17:18:43.003,1781907523003,409.7974,6.5,0,0,0,
2026-06-19 17:18:43.003,1781907523003,409.7974,6.5,0,0,0,
2026-06-19 17:18:43.003,1781907523003,409.7974,6.9,0,0,0,
2026-06-19 17:18:43.003,1781907523003,369.6813,6.9,0,0,0,
2026-06-19 17:18:43.004,1781907523004,369.6813,7.0,0,0,0,
2026-06-19 17:18:43.004,1781907523004,369.6813,6.9,0,0,0,
2026-06-19 17:18:43.004,1781907523004,369.6813,6.5,0,0,0,
2026-06-19 17:18:43.004,1781907523004,369.6813,6.9,0,0,0,
2026-06-19 17:18:43.004,1781907523004,369.6813,6.9,0,0,0,
2026-06-19 17:18:43.004,1781907523004,371.9572,6.9,0,0,0,
2026-06-19 17:18:43.020,1781907523021,371.9572,7.0,0,0,0,
2026-06-19 17:18:43.061,1781907523061,371.9572,6.4,0,0,0,
2026-06-19 17:18:43.100,1781907523100,371.9572,6.9,0,0,0,
2026-06-19 17:18:43.141,1781907523141,371.9572,6.4,0,0,0,
2026-06-19 17:18:43.180,1781907523181,371.9572,6.9,0,0,0,
2026-06-19 17:18:43.221,1781907523221,371.9572,6.8,0,0,0,
2026-06-19 17:18:43.260,1781907523260,375.7321,6.9,0,0,0,
2026-06-19 17:18:43.301,1781907523301,375.7321,6.9,0,0,0,
2026-06-19 17:18:43.340,1781907523340,375.7321,6.9,0,0,0,
2026-06-19 17:18:43.380,1781907523380,375.7321,6.9,0,0,0,
2026-06-19 17:18:43.420,1781907523420,375.7321,6.4,0,0,0,
2026-06-19 17:18:43.461,1781907523461,375.7321,6.3,0,0,0,
2026-06-19 17:18:43.500,1781907523500,368.2570,6.9,0,0,0,
2026-06-19 17:18:43.540,1781907523540,368.2570,6.9,0,0,0,
2026-06-19 17:18:43.581,1781907523581,368.2570,6.6,0,0,0,
2026-06-19 17:18:43.621,1781907523621,368.2570,6.9,0,0,0,
2026-06-19 17:18:43.661,1781907523661,368.2570,6.5,0,1,0,
2026-06-19 17:18:43.700,1781907523700,368.2570,6.9,0,1,0,
2026-06-19 17:18:43.740,1781907523740,368.2570,6.9,0,1,0,
2026-06-19 17:18:43.781,1781907523781,373.7100,6.4,0,1,0,
2026-06-19 17:18:43.821,1781907523821,373.7100,6.8,0,1,0,
2026-06-19 17:18:43.861,1781907523861,373.7100,6.5,0,1,0,
2026-06-19 17:18:43.901,1781907523901,373.7100,6.5,0,1,0,
2026-06-19 17:18:43.940,1781907523940,373.7100,6.4,0,1,0,
2026-06-19 17:18:43.981,1781907523981,373.7100,6.9,0,1,0,
2026-06-19 17:18:44.020,1781907524020,366.4570,6.5,0,1,0,
2026-06-19 17:18:44.061,1781907524061,366.4570,6.4,0,1,0,
2026-06-19 17:18:44.101,1781907524101,366.4570,6.9,0,1,0,
2026-06-19 17:18:44.141,1781907524141,366.4570,6.4,0,0,0,
2026-06-19 17:18:44.181,1781907524181,366.4570,6.5,0,1,0,
2026-06-19 17:18:44.220,1781907524221,366.4570,6.9,0,0,0,
2026-06-19 17:18:44.261,1781907524261,366.4570,6.4,0,1,0,
2026-06-19 17:18:44.301,1781907524301,382.7340,6.5,0,0,0,
2026-06-19 17:18:44.341,1781907524341,382.7340,6.9,0,0,0,
2026-06-19 17:18:44.381,1781907524381,382.7340,7.4,0,0,0,
