Frecuencia_Hz,Magnitud
156.2,16300.7700
468.8,8363.7100
781.2,4203.1000
1093.8,7425.9600
1406.2,14193.9400
1718.8,18333.9400
2031.2,10662.5900
2343.8,6640.1200
2656.2,6316.1800
2968.8,6073.3700
3281.2,6894.8800
3593.8,8733.9200
3906.2,4283.7300
4218.8,5200.0100
4531.2,5714.7400
4843.8,4736.6000
5156.2,4572.7500
5468.8,4475.2400
5781.2,4215.7800
6093.8,5282.9400
6406.2,5243.6300
6718.8,3557.2600
7031.2,3548.5200
7343.8,4111.6300
7656.2,3590.1300
7968.8,2904.7900
8281.2,2720.0300
8593.8,3047.1800
8906.2,2684.4500
9218.8,2505.4400
9531.2,2754.9900
9843.8,2944.0100
