Timestamp,Epoch_Time_ms,MAG,D,P1,P2,P3
2026-06-19 17:00:16.902,1781906416902,139.7737,5.8,0,0,0
2026-06-19 17:00:16.978,1781906416979,139.7737,5.8,0,0,0
2026-06-19 17:00:17.027,1781906417027,153.5963,5.8,0,0,0
2026-06-19 17:00:17.028,1781906417028,153.5963,5.7,0,0,0
2026-06-19 17:00:17.028,1781906417028,153.5963,5.8,0,0,0
2026-06-19 17:00:17.028,1781906417028,153.5963,5.8,0,0,0
2026-06-19 17:00:17.028,1781906417028,153.5963,5.9,0,0,0
2026-06-19 17:00:17.029,1781906417029,153.5963,5.7,0,0,0
2026-06-19 17:00:17.082,1781906417082,143.8131,5.8,0,0,0
2026-06-19 17:00:17.128,1781906417128,143.8131,5.7,0,0,0
2026-06-19 17:00:17.129,1781906417129,143.8131,5.8,0,0,0
2026-06-19 17:00:17.129,1781906417129,143.8131,5.8,0,0,0
2026-06-19 17:00:17.130,1781906417130,143.8131,5.8,0,0,0
2026-06-19 17:00:17.130,1781906417130,143.8131,5.8,0,0,0
2026-06-19 17:00:17.142,1781906417142,143.8131,5.8,0,0,0
2026-06-19 17:00:17.183,1781906417183,133.6655,5.8,0,0,0
2026-06-19 17:00:17.222,1781906417222,133.6655,5.9,0,0,0
2026-06-19 17:00:17.262,1781906417262,133.6655,5.8,0,0,0
2026-06-19 17:00:17.302,1781906417302,133.6655,5.8,0,0,0
2026-06-19 17:00:17.342,1781906417342,133.6655,5.8,0,0,0
2026-06-19 17:00:17.382,1781906417382,133.6655,5.9,0,0,0
2026-06-19 17:00:17.422,1781906417422,141.8380,5.8,0,0,0
2026-06-19 17:00:17.462,1781906417462,141.8380,5.9,0,0,0
2026-06-19 17:00:17.502,1781906417502,141.8380,5.9,0,0,0
2026-06-19 17:00:17.542,1781906417542,141.8380,5.8,0,0,0
2026-06-19 17:00:17.582,1781906417582,141.8380,5.9,0,0,0
2026-06-19 17:00:17.622,1781906417622,141.8380,5.9,0,0,0
2026-06-19 17:00:17.662,1781906417662,141.8380,5.8,0,0,0
2026-06-19 17:00:17.702,1781906417702,133.2042,5.8,0,0,0
2026-06-19 17:00:17.742,1781906417742,133.2042,5.9,0,0,0
2026-06-19 17:00:17.782,1781906417783,133.2042,5.8,0,0,0
2026-06-19 17:00:17.822,1781906417822,133.2042,5.8,0,0,0
2026-06-19 17:00:17.862,1781906417862,133.2042,5.9,0,0,0
2026-06-19 17:00:17.902,1781906417902,133.2042,5.7,0,0,0
2026-06-19 17:00:17.942,1781906417942,136.1544,5.8,0,0,0
2026-06-19 17:00:17.982,1781906417982,136.1544,5.9,0,0,0
2026-06-19 17:00:18.022,1781906418022,136.1544,5.8,0,0,0
2026-06-19 17:00:18.062,1781906418062,136.1544,5.7,0,0,0
2026-06-19 17:00:18.103,1781906418103,136.1544,5.9,0,0,0
2026-06-19 17:00:18.142,1781906418142,136.1544,5.9,0,0,0
2026-06-19 17:00:18.183,1781906418183,136.1544,5.8,0,0,0
2026-06-19 17:00:18.222,1781906418222,133.9270,5.8,0,0,0
2026-06-19 17:00:18.262,1781906418262,133.9270,5.7,0,0,0
2026-06-19 17:00:18.302,1781906418302,133.9270,5.8,0,0,0
2026-06-19 17:00:18.342,1781906418342,133.9270,5.9,0,0,0
2026-06-19 17:00:18.382,1781906418382,133.9270,5.9,0,0,0
2026-06-19 17:00:18.422,1781906418422,133.9270,5.8,0,0,0
2026-06-19 17:00:18.462,1781906418462,140.1474,5.8,0,0,0
2026-06-19 17:00:18.502,1781906418502,140.1474,5.9,0,0,0
2026-06-19 17:00:18.542,1781906418542,140.1474,5.9,0,0,0
2026-06-19 17:00:18.582,1781906418582,140.1474,5.9,0,0,0
2026-06-19 17:00:18.622,1781906418622,140.1474,5.9,0,0,0
2026-06-19 17:00:18.662,1781906418662,140.1474,5.8,0,0,0
2026-06-19 17:00:18.702,1781906418702,140.1474,5.8,0,0,0
